Cyg,102488,104732
Cyg,102098,100453
Cyg,100453,98110
Cyg,98110,97629
Cyg,97629,95947
Del,101421,101769
Del,101769,102281
Del,102281,102531
Del,102531,101958
Del,101958,101769
Dor,19893,21281
Dor,21281,26069
Dor,26069,27100
Dra,85829,85670
Dra,85670,87833
Dra,87833,87585
Dra,87585,85829
Dra,87585,94376
Dra,94376,97433
Dra,97433,94648
Dra,94648,89908
Dra,89908,83895
Dra,83895,80331
Dra,80331,78527
Dra,78527,75458
Dra,75458,68756
Dra,68756,61281
Dra,61281,56211
Nor,80000,79790
Nor,79790,78639
Nor,78639,78914
Nor,78914,80582
Nor,80582,80000
Nor,80000,79509
Nor,79509,80000
Eri,23875,22701
Eri,22701,22109
Eri,22109,21444
Eri,21444,19587
Eri,19587,18543
Eri,18543,17378
Eri,17378,16537
Eri,16537,15197
Eri,15197,13701
Eri,13701,12843
Eri,12843,13288
Eri,13288,14146
Eri,14146,15474
Eri,15474,16611
Eri,16611,17651
Eri,17651,21248
Eri,21248,21393
Eri,21393,20535
Eri,20535,20042
Eri,20042,17874
Eri,17874,17351
Eri,17351,15510
Eri,15510,13847
Eri,13847,12486
Eri,12486,11407
Eri,11407,10602
Eri,10602,9007
Eri,9007,7588
Sge,98337,97365
Sge,97365,96837
Sge,97365,96757
For,17304,14879
For,14879,13147
For,13147,10320
Gem,28734,29655
Gem,29655,30343
Gem,30343,32246
Gem,32246,34693
Gem,34693,36850
Gem,36850,37826
Gem,37826,35550
Gem,35550,34088
Gem,34088,31681
Gem,31681,32362
Gem,34693,33018
Gem,35550,35350
Cam,23040,23522
Cam,23522,22783
Cam,22783,17959
Cam,17959,16228
Cam,22783,29997
Cam,29997,62572
Cam,29997,17959
CMa,34045,32349
CMa,32349,33160
CMa,33160,34045
CMa,34045,33347
CMa,33347,31592
CMa,31592,30324
CMa,33347,33977
CMa,33977,34444
CMa,34444,35037
CMa,35037,35904
CMa,31592,33152
CMa,33152,33579
CMa,33579,32759
CMa,32759,30788
CMa,34444,33856
CMa,33856,33579
CMa,33579,30122
UMa,67301,65378
UMa,65378,62956
UMa,62956,59774
UMa,59774,58001
UMa,58001,53910
UMa,53910,54061
UMa,54061,59774
UMa,54061,46733
UMa,46733,41704
UMa,41704,44390
UMa,44390,46733
UMa,46733,48319
UMa,48319,48402
UMa,48402,46853
UMa,46853,44471
UMa,44471,44127
UMa,48402,57399
UMa,57399,54539
UMa,54539,50801
UMa,50801,50372
UMa,58001,57399
UMa,57399,55219
UMa,55219,55203
Gru,108085,109111
Gru,109111,110997
Gru,110997,112122
Gru,112122,112623
Gru,112623,113638
Gru,109268,112122
Gru,112122,114421
Gru,114421,114131
Her,79101,79992
Her,79992,81126
Her,81126,81833
Her,81833,81693
Her,81693,80816
Her,80816,80170
Her,80170,79043
Her,79043,80463
Her,80816,84345
Her,84345,84379
Her,84379,83207
Her,83207,84380
Her,86414,87808
Her,87808,85112
Her,85112,84380
Her,84380,81833
Her,84379,85693
Her,85693,86974
Her,86974,87933
Her,87933,88794
Her,88794,88817
Her,88817,88886
Hor,19747,12653
Hor,12653,12225
Hor,12225,12484
Hor,12484,14240
Hor,14240,13884
Hya,72571,68895
Hya,68895,64962
Hya,64962,57936
Hya,57936,56343
Hya,56343,54204
Hya,54204,52943
Hya,52943,51069
Hya,51069,49841
Hya,49841,49402
Hya,49402,48356
Hya,48356,46390
Hya,46390,47431
Hya,47431,45336
Hya,45336,43813
Hya,43813,42799
Hya,42799,42402
Hya,43813,43109
Hya,43109,42313
Hya,43813,42313
Hyi,17678,2021
Hyi,2021,9236
Hyi,9236,17678
Ind,101772,105319
Ind,105319,108431
Ind,108431,108870
Ind,105319,103227
Lac,109937,109754
Lac,109754,111104
Lac,111104,110351
Lac,110351,111022
Lac,111022,110609
Lac,110609,111169
Lac,111169,110538
Mon,37447,34769
Mon,34769,32578
Mon,32578,30422
Mon,30422,31216
Mon,30867,30422
Mon,30422,29651
Lep,24845,24305
Lep,24305,25985
Lep,25985,27288
Lep,27288,28103
Lep,25985,25606
Lep,25606,23685
Lep,27288,27654
Lep,27654,27072
Lep,24244,24327
Lep,24327,24305
Lep,25985,27654
Leo,46750,47908
Leo,47908,48455
Leo,48455,50335
Leo,50335,50583
Leo,50583,49583
Leo,49583,49669
Leo,49669,51624
Leo,51624,49637
Leo,49637,47508
Leo,49583,54872
Leo,54872,57632
Leo,57632,54879
Leo,54879,49669
Leo,54879,55642
Leo,55642,55434
Leo,55434,55945
Leo,55945,56647
Lup,78384,77634
Lup,77634,78918
Lup,78918,78384
Lup,78384,76297
Lup,76297,75264
Lup,75264,74395
Lup,74395,71860
Lup,71860,73273
Lup,73273,75141
Lup,75141,75177
Lup,75177,74857
Lup,76297,75141
Lup,74395,71536
Lup,71536,69996
Lyn,45860,45688
Lyn,45688,44700
Lyn,44700,44248
Lyn,44248,41075
Lyn,41075,36145
Lyn,36145,30060
Lyr,91262,91971
Lyr,91971,92420
Lyr,92420,93194
Lyr,93194,92728
Lyr,92728,91971
Ant,53502,51172
Ant,51172,48926
Ant,48926,46515
Mic,102693,105382
Mic,105382,105140
Mic,105140,103738
Mic,103738,102831
Mus,61199,61585
Mus,61585,59929
Mus,59929,57363
Mus,63613,62322
Mus,62322,61585
Oct,70638,107089
Oct,107089,112405
Oct,112405,70638
Aps,72370,81065
Aps,81065,81852
Aps,81852,80047
Oph,84970,84012
Oph,84012,81377
Oph,81377,79882
Oph,79882,80883
Oph,80883,83000
Oph,83000,86032
Oph,86032,86742
Oph,86742,87108
Oph,87108,86284
Oph,86284,84880
Oph,84880,84012
Oph,81377,80894
Oph,80894,80975
Ori,27913,29038
Ori,29038,29426
Ori,29426,28614
Ori,28614,27989
Ori,27989,26727
Ori,26727,27366
Ori,27366,24436
Ori,24436,25930
Ori,25930,25336
Ori,25336,26207
Ori,26207,27989
Ori,25336,22957
Ori,22957,22509
Ori,22509,22449
Ori,22449,22549
Ori,22549,22797
Ori,26727,26311
Ori,26311,25930
Pav,100751,102395
Pav,102395,102157
Pav,102157,98495
Pav,98495,91792
Pav,91792,86929
Pav,86929,90098
Pav,90098,92609
Pav,92609,99240
Pav,99240,102395
Pav,102395,105858
Pav,99240,98495
Peg,109410,112158
Peg,112158,113881
Peg,113881,677
Peg,677,1067
Peg,1067,113963
Peg,113963,112447
Peg,112447,112029
Peg,112029,109427
Peg,109427,107315
Peg,113963,113881
Peg,113881,112748
Peg,112748,112440
Peg,112440,109176
Peg,109176,107354
Pic,32607,27530
Pic,27530,27321
Pic,27321,23649
Pic,23649,23482
Per,19167,19812
Per,19812,19343
Per,19343,17358
Per,17358,16826
Per,16826,15863
Per,15863,14328
Per,14328,13268
Per,13268,8068
Per,14328,13531
Per,13531,12777
Per,12777,14576
Per,14576,14354
Per,14354,13254
Per,12777,14668
Per,14668,15648
Per,15648,17529
Per,17529,18532
Per,18532,18614
Per,18614,18246
Per,18246,17448
Equ,104858,104987
Equ,104987,104521
Equ,104987,105570
CMi,37279,36188
LMi,53229,51233
LMi,51233,49593
LMi,49593,46952
Vul,103004,97886
Vul,97886,95771
UMi,11767,85822
UMi,85822,82080
UMi,82080,77055
UMi,77055,79822
UMi,79822,75097
UMi,75097,72607
Phe,5348,5165
Phe,5165,6867
Phe,6867,8837
Phe,8837,7083
Phe,7083,5165
Phe,5165,2081
Phe,2081,765
Psc,5586,6193
Psc,6193,5742
Psc,5742,5571
Psc,5571,7097
Psc,7097,8198
Psc,8198,9487
Psc,9487,7884
Psc,7884,7007
Psc,7007,5743
Psc,5743,4906
Psc,4906,3786
Psc,3786,118268
Psc,118268,116771
Psc,116771,115830
Psc,115830,114971
Psc,114971,115738
Psc,115738,116928
Psc,116928,118268
PsA,113368,111954
PsA,111954,109789
PsA,109789,107380
PsA,107380,109285
PsA,109285,111188
PsA,111188,112948
PsA,112948,113246
PsA,113246,113368
Vol,44382,41312
Vol,41312,39794
Vol,39794,37504
Vol,37504,34481
Vol,34481,35228
Vol,35228,41312
Pup,39429,39757
Pup,39757,38170
Pup,38170,35264
Pup,35264,31685
Pup,31685,30438
Pup,30438,32768
Pup,32768,34834
Pup,34834,36377
Pup,36377,39429
Pup,39953,39429
Pup,39429,35264
Pup,35264,36377
Pup,31685,32768
Ret,17440,19780
Ret,19780,19921
Ret,19921,18744
Ret,18744,18597
Ret,18597,17440
Sgr,95241,95347
Sgr,95347,93506
Sgr,93506,93864
Sgr,93864,92855
Sgr,92855,92041
Sgr,92041,90496
Sgr,90496,89341
Sgr,98032,98412
Sgr,98412,98421
Sgr,98421,98066
Sgr,98066,93864
Sgr,95168,94141
Sgr,94141,93683
Sgr,93683,92855
Sgr,93683,93085
Sgr,90496,89931
Sgr,89931,90185
Sgr,90185,89642
Sgr,89931,88635
Sco,78821,78401
Sco,78401,78265
Sco,78265,78104
Sco,78401,80112
Sco,80112,80763
Sco,80763,81266
Sco,81266,82396
Sco,82396,82514
Sco,82514,82671
Sco,82671,84143
Sco,84143,86228
Sco,86228,87073
Sco,87073,86670
Sco,86670,85927
Sco,85927,87261
Ser,79882,79593
Ser,79593,77516
Ser,77516,77578
Ser,77578,77622
Ser,77622,77070
Ser,77070,76276
Ser,76276,77233
Ser,77233,78072
Ser,78072,77450
Ser,77450,77233
Ser,92946,89962
Ser,89962,88048
Ser,88048,86565
Ser,86565,86263
Ser,86263,84880
Sex,51437,49641
Sex,49641,48437
Men,29271,25918
Men,25918,22871
Men,22871,23467
Tau,25428,21881
Tau,21881,20889
Tau,20889,20648
Tau,20648,20455
Tau,20455,20205
Tau,26451,21421
Tau,21421,20885
Tau,20885,20205
Tau,20205,18724
Tau,18724,16083
Tau,16083,15900
Tau,15900,18907
Tau,18907,16852
Tau,18724,21589
Tau,21589,21402
Tau,21402,19860
Tau,20889,20635
Tau,20635,19038
Tau,19038,17702
Tau,17702,16369
Tau,16369,16083
Tel,89112,90422
Tel,90422,90568
Tel,90568,95261
Tel,95261,99120
Tuc,110838,110130
Tuc,110130,114996
Tuc,114996,2484
Tuc,2484,1599
Tuc,1599,118322
Tuc,118322,110838
Tri,8796,10064
Tri,10064,10670
Tri,10670,8796
Tra,82273,77952
Tra,77952,74946
Tra,74946,82273
Aqr,102618,106278
Aqr,106278,109074
Aqr,109074,110003
Aqr,110003,109472
Aqr,109472,109139
Aqr,109074,110395
Aqr,110395,110960
Aqr,110960,111497
Aqr,111497,114724
Aqr,114724,116758
Aqr,116758,115669
Aqr,115669,113368
Aqr,113368,114119
Aqr,114119,114341
Aqr,114341,113136
Aqr,113136,112961
Aqr,112961,111497
Aqr,110960,110672
Vir,57757,60129
Vir,60129,61941
Vir,61941,63090
Vir,63090,63608
Vir,63608,61960
Vir,61960,58948
Vir,58948,57380
Vir,72220,68520
Vir,68520,63090
Vir,63090,66249
Vir,71957,69701
Vir,69701,64238
Vir,64238,61941
Vir,65474,64238
Vir,69427,64238
Vel,52727,51986
Vel,51986,51635
Vel,51635,50191
Vel,50191,46651
Vel,46651,44816
Vel,44816,39953
Vel,39953,42913
Vel,42913,45941
Vel,45941,48774
Vel,48774,52727
